"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:51:48 GMT 2022","Tue Sep 06 12:51:49 GMT 2022","963","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:51:37 GMT 2022","Tue Sep 06 12:51:37 GMT 2022","367","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:51:43 GMT 2022","Tue Sep 06 12:51:50 GMT 2022","7543","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:51:38 GMT 2022","Tue Sep 06 12:51:39 GMT 2022","1271","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:51:48 GMT 2022","Tue Sep 06 12:51:48 GMT 2022","373","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:51:48 GMT 2022","Tue Sep 06 12:51:48 GMT 2022","432","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:51:37 GMT 2022","Tue Sep 06 12:51:38 GMT 2022","424","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:51:43 GMT 2022","Tue Sep 06 12:51:46 GMT 2022","3221","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:51:37 GMT 2022","Tue Sep 06 12:51:44 GMT 2022","7133","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:51:37 GMT 2022","Tue Sep 06 12:51:39 GMT 2022","2342","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
