"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 11:00:55 GMT 2022","Thu Sep 08 11:00:58 GMT 2022","2716","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Sep 08 11:00:55 GMT 2022","Thu Sep 08 11:01:03 GMT 2022","8544","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Thu Sep 08 11:01:09 GMT 2022","Thu Sep 08 11:01:10 GMT 2022","471","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Thu Sep 08 11:00:56 GMT 2022","Thu Sep 08 11:00:56 GMT 2022","492","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Sep 08 11:01:03 GMT 2022","Thu Sep 08 11:01:07 GMT 2022","4187","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Sep 08 11:01:09 GMT 2022","Thu Sep 08 11:01:09 GMT 2022","458","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Thu Sep 08 11:01:03 GMT 2022","Thu Sep 08 11:01:13 GMT 2022","10292","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Thu Sep 08 11:01:10 GMT 2022","Thu Sep 08 11:01:11 GMT 2022","1310","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Sep 08 11:00:57 GMT 2022","Thu Sep 08 11:00:59 GMT 2022","1788","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Thu Sep 08 11:00:56 GMT 2022","Thu Sep 08 11:00:57 GMT 2022","443","","Base page test","","Base page test","POST test request","POST test request",""
