"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:53:18 GMT 2022","Tue Sep 06 12:53:18 GMT 2022","337","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:53:14 GMT 2022","Tue Sep 06 12:53:16 GMT 2022","1137","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:53:13 GMT 2022","Tue Sep 06 12:53:19 GMT 2022","5368","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:53:13 GMT 2022","Tue Sep 06 12:53:14 GMT 2022","1701","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:53:14 GMT 2022","Tue Sep 06 12:53:14 GMT 2022","375","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:53:14 GMT 2022","Tue Sep 06 12:53:14 GMT 2022","293","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:53:18 GMT 2022","Tue Sep 06 12:53:18 GMT 2022","281","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:53:20 GMT 2022","Tue Sep 06 12:53:22 GMT 2022","2367","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:53:18 GMT 2022","Tue Sep 06 12:53:22 GMT 2022","3145","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:53:18 GMT 2022","Tue Sep 06 12:53:23 GMT 2022","5133","","Base page test","","Base page test","Signing in","Signing in",""
