"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:37:50 GMT 2022","Tue Sep 06 12:37:51 GMT 2022","1487","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:37:54 GMT 2022","Tue Sep 06 12:37:57 GMT 2022","2683","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:37:49 GMT 2022","Tue Sep 06 12:37:50 GMT 2022","417","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:37:55 GMT 2022","Tue Sep 06 12:38:00 GMT 2022","5481","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:37:58 GMT 2022","Tue Sep 06 12:37:58 GMT 2022","293","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:37:50 GMT 2022","Tue Sep 06 12:37:51 GMT 2022","1771","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:37:50 GMT 2022","Tue Sep 06 12:37:50 GMT 2022","232","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:37:58 GMT 2022","Tue Sep 06 12:37:59 GMT 2022","241","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:37:59 GMT 2022","Tue Sep 06 12:38:00 GMT 2022","1102","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:37:48 GMT 2022","Tue Sep 06 12:37:54 GMT 2022","5952","","Base page test","","Base page test","Signing in","Signing in",""
