"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:43:28 GMT 2022","Tue Sep 06 12:43:36 GMT 2022","8047","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:43:31 GMT 2022","Tue Sep 06 12:43:32 GMT 2022","347","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:43:21 GMT 2022","Tue Sep 06 12:43:21 GMT 2022","348","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:43:32 GMT 2022","Tue Sep 06 12:43:33 GMT 2022","1463","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:43:20 GMT 2022","Tue Sep 06 12:43:32 GMT 2022","12568","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:43:32 GMT 2022","Tue Sep 06 12:43:32 GMT 2022","362","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:43:20 GMT 2022","Tue Sep 06 12:43:24 GMT 2022","3793","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:43:20 GMT 2022","Tue Sep 06 12:43:21 GMT 2022","303","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:43:28 GMT 2022","Tue Sep 06 12:43:32 GMT 2022","4077","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:43:21 GMT 2022","Tue Sep 06 12:43:22 GMT 2022","883","","Base page test","","Base page test","MOCK test request","MOCK test request",""
