"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:12 GMT 2022","455","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:16 GMT 2022","3934","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:12 GMT 2022","450","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:51:11 GMT 2022","Fri Oct 14 14:51:12 GMT 2022","546","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:51:05 GMT 2022","Fri Oct 14 14:51:07 GMT 2022","2215","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:13 GMT 2022","512","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:51:05 GMT 2022","Fri Oct 14 14:51:12 GMT 2022","7266","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:20 GMT 2022","7542","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:51:12 GMT 2022","Fri Oct 14 14:51:13 GMT 2022","1103","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:51:13 GMT 2022","Fri Oct 14 14:51:15 GMT 2022","2166","","Base page test","","Base page test","MOCK test request","MOCK test request",""
