"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 11:44:21 GMT 2022","Tue Sep 06 11:44:22 GMT 2022","263","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 11:44:29 GMT 2022","Tue Sep 06 11:44:30 GMT 2022","1054","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 11:44:29 GMT 2022","Tue Sep 06 11:44:29 GMT 2022","275","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 11:44:25 GMT 2022","Tue Sep 06 11:44:31 GMT 2022","5756","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 11:44:28 GMT 2022","Tue Sep 06 11:44:29 GMT 2022","375","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 11:44:21 GMT 2022","Tue Sep 06 11:44:21 GMT 2022","276","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 11:44:22 GMT 2022","Tue Sep 06 11:44:23 GMT 2022","1378","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 11:44:20 GMT 2022","Tue Sep 06 11:44:26 GMT 2022","5829","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 11:44:26 GMT 2022","Tue Sep 06 11:44:28 GMT 2022","2552","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 11:44:21 GMT 2022","Tue Sep 06 11:44:22 GMT 2022","1459","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
