"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 11:57:27 GMT 2022","Fri Sep 02 11:57:28 GMT 2022","1432","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 11:57:26 GMT 2022","Fri Sep 02 11:57:26 GMT 2022","245","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 11:57:27 GMT 2022","Fri Sep 02 11:57:30 GMT 2022","2865","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 11:57:25 GMT 2022","Fri Sep 02 11:57:26 GMT 2022","412","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 11:57:26 GMT 2022","Fri Sep 02 11:57:27 GMT 2022","1247","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 11:57:20 GMT 2022","Fri Sep 02 11:57:31 GMT 2022","11455","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 11:57:20 GMT 2022","Fri Sep 02 11:57:22 GMT 2022","1864","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 11:57:27 GMT 2022","Fri Sep 02 11:57:32 GMT 2022","5683","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 11:57:26 GMT 2022","Fri Sep 02 11:57:27 GMT 2022","282","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 11:57:26 GMT 2022","Fri Sep 02 11:57:26 GMT 2022","268","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
