"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:15:04 GMT 2022","Tue Sep 06 12:15:10 GMT 2022","5114","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:14:58 GMT 2022","Tue Sep 06 12:14:59 GMT 2022","1646","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:15:02 GMT 2022","Tue Sep 06 12:15:03 GMT 2022","338","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:15:03 GMT 2022","Tue Sep 06 12:15:03 GMT 2022","282","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:15:04 GMT 2022","Tue Sep 06 12:15:06 GMT 2022","2514","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:15:04 GMT 2022","Tue Sep 06 12:15:04 GMT 2022","416","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:15:04 GMT 2022","Tue Sep 06 12:15:04 GMT 2022","258","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:15:03 GMT 2022","Tue Sep 06 12:15:05 GMT 2022","1417","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:14:57 GMT 2022","Tue Sep 06 12:15:04 GMT 2022","6517","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:15:04 GMT 2022","Tue Sep 06 12:15:06 GMT 2022","1811","","Base page test","","Base page test","MOCK test request","MOCK test request",""
