"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 17:11:23 GMT 2022","Fri Sep 02 17:11:26 GMT 2022","2203","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 17:11:23 GMT 2022","Fri Sep 02 17:11:23 GMT 2022","457","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 17:11:15 GMT 2022","Fri Sep 02 17:11:18 GMT 2022","3063","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 17:11:22 GMT 2022","Fri Sep 02 17:11:23 GMT 2022","469","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 17:11:25 GMT 2022","Fri Sep 02 17:11:29 GMT 2022","3148","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 17:11:15 GMT 2022","Fri Sep 02 17:11:15 GMT 2022","522","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 17:11:15 GMT 2022","Fri Sep 02 17:11:17 GMT 2022","1574","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 17:11:14 GMT 2022","Fri Sep 02 17:11:21 GMT 2022","7681","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 17:11:22 GMT 2022","Fri Sep 02 17:11:29 GMT 2022","7361","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 17:11:14 GMT 2022","Fri Sep 02 17:11:15 GMT 2022","412","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
