"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 15:22:18 GMT 2022","Fri Sep 02 15:22:20 GMT 2022","1288","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 15:22:23 GMT 2022","Fri Sep 02 15:22:25 GMT 2022","2102","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 15:22:23 GMT 2022","Fri Sep 02 15:22:23 GMT 2022","300","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 15:22:23 GMT 2022","Fri Sep 02 15:22:25 GMT 2022","2450","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 15:22:21 GMT 2022","Fri Sep 02 15:22:29 GMT 2022","8035","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 15:22:18 GMT 2022","Fri Sep 02 15:22:18 GMT 2022","256","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 15:22:22 GMT 2022","Fri Sep 02 15:22:23 GMT 2022","514","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 15:22:17 GMT 2022","Fri Sep 02 15:22:26 GMT 2022","8972","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 15:22:18 GMT 2022","Fri Sep 02 15:22:18 GMT 2022","464","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 15:22:23 GMT 2022","Fri Sep 02 15:22:27 GMT 2022","3769","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
