"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 14:46:49 GMT 2022","Fri Sep 02 14:46:51 GMT 2022","1683","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 14:46:52 GMT 2022","Fri Sep 02 14:46:54 GMT 2022","2422","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 14:46:43 GMT 2022","Fri Sep 02 14:46:49 GMT 2022","6405","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 14:46:43 GMT 2022","Fri Sep 02 14:46:44 GMT 2022","407","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 14:46:49 GMT 2022","Fri Sep 02 14:46:49 GMT 2022","420","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 14:46:44 GMT 2022","Fri Sep 02 14:46:44 GMT 2022","475","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 14:46:44 GMT 2022","Fri Sep 02 14:46:46 GMT 2022","1372","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 14:46:42 GMT 2022","Fri Sep 02 14:46:44 GMT 2022","1960","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 14:46:49 GMT 2022","Fri Sep 02 14:46:49 GMT 2022","344","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 14:46:48 GMT 2022","Fri Sep 02 14:46:55 GMT 2022","6524","","Base page test","","Base page test","Signing in","Signing in",""
