"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 14:55:07 GMT 2022","Fri Oct 14 14:55:07 GMT 2022","241","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:55:06 GMT 2022","Fri Oct 14 14:55:12 GMT 2022","5700","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:55:16 GMT 2022","Fri Oct 14 14:55:18 GMT 2022","1511","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:55:15 GMT 2022","Fri Oct 14 14:55:16 GMT 2022","357","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:55:06 GMT 2022","Fri Oct 14 14:55:07 GMT 2022","259","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:55:12 GMT 2022","Fri Oct 14 14:55:20 GMT 2022","7796","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:55:11 GMT 2022","Fri Oct 14 14:55:14 GMT 2022","3446","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:55:06 GMT 2022","Fri Oct 14 14:55:09 GMT 2022","2557","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:55:07 GMT 2022","Fri Oct 14 14:55:08 GMT 2022","1344","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:55:16 GMT 2022","Fri Oct 14 14:55:16 GMT 2022","237","","Base page test","","Base page test","POST test request","POST test request",""
