"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:24:30 GMT 2022","Tue Sep 06 12:24:31 GMT 2022","1209","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:24:36 GMT 2022","Tue Sep 06 12:24:37 GMT 2022","263","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:24:36 GMT 2022","Tue Sep 06 12:24:36 GMT 2022","418","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:24:35 GMT 2022","Tue Sep 06 12:24:37 GMT 2022","2068","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:24:29 GMT 2022","Tue Sep 06 12:24:36 GMT 2022","6330","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:24:37 GMT 2022","Tue Sep 06 12:24:39 GMT 2022","2255","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:24:30 GMT 2022","Tue Sep 06 12:24:30 GMT 2022","281","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:24:30 GMT 2022","Tue Sep 06 12:24:30 GMT 2022","251","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:24:34 GMT 2022","Tue Sep 06 12:24:42 GMT 2022","7345","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:24:35 GMT 2022","Tue Sep 06 12:24:39 GMT 2022","3467","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
