"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 15:11:41 GMT 2022","Fri Oct 14 15:11:47 GMT 2022","6653","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 15:11:36 GMT 2022","Fri Oct 14 15:11:37 GMT 2022","1073","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 15:11:45 GMT 2022","Fri Oct 14 15:11:45 GMT 2022","288","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 15:11:45 GMT 2022","Fri Oct 14 15:11:46 GMT 2022","1207","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 15:11:44 GMT 2022","Fri Oct 14 15:11:45 GMT 2022","313","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 15:11:36 GMT 2022","Fri Oct 14 15:11:37 GMT 2022","1771","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 15:11:36 GMT 2022","Fri Oct 14 15:11:36 GMT 2022","288","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 15:11:41 GMT 2022","Fri Oct 14 15:11:44 GMT 2022","3033","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 15:11:35 GMT 2022","Fri Oct 14 15:11:41 GMT 2022","5246","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 15:11:36 GMT 2022","Fri Oct 14 15:11:36 GMT 2022","372","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
