"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 18:33:07 GMT 2022","Mon Sep 12 18:33:16 GMT 2022","8849","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 12 18:33:08 GMT 2022","Mon Sep 12 18:33:10 GMT 2022","2274","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 12 18:33:08 GMT 2022","Mon Sep 12 18:33:10 GMT 2022","1674","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 12 18:33:08 GMT 2022","Mon Sep 12 18:33:08 GMT 2022","375","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Mon Sep 12 18:33:08 GMT 2022","Mon Sep 12 18:33:08 GMT 2022","176","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
