"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 15:02:31 GMT 2022","Fri Oct 14 15:02:32 GMT 2022","1070","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 15:02:36 GMT 2022","Fri Oct 14 15:02:45 GMT 2022","9244","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 15:02:41 GMT 2022","Fri Oct 14 15:02:42 GMT 2022","402","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 15:02:30 GMT 2022","Fri Oct 14 15:02:31 GMT 2022","289","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 15:02:30 GMT 2022","Fri Oct 14 15:02:37 GMT 2022","7736","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 15:02:30 GMT 2022","Fri Oct 14 15:02:33 GMT 2022","3033","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 15:02:31 GMT 2022","Fri Oct 14 15:02:31 GMT 2022","353","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 15:02:41 GMT 2022","Fri Oct 14 15:02:41 GMT 2022","430","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 15:02:37 GMT 2022","Fri Oct 14 15:02:42 GMT 2022","4700","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 15:02:42 GMT 2022","Fri Oct 14 15:02:44 GMT 2022","1885","","Base page test","","Base page test","MOCK test request","MOCK test request",""
