"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 11:58:11 GMT 2022","Tue Sep 06 11:58:12 GMT 2022","387","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 11:58:07 GMT 2022","Tue Sep 06 11:58:15 GMT 2022","7945","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 11:58:00 GMT 2022","Tue Sep 06 11:58:01 GMT 2022","1312","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 11:58:11 GMT 2022","Tue Sep 06 11:58:11 GMT 2022","349","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 11:58:00 GMT 2022","Tue Sep 06 11:58:00 GMT 2022","389","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 11:57:59 GMT 2022","Tue Sep 06 11:58:07 GMT 2022","8369","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 11:57:59 GMT 2022","Tue Sep 06 11:58:00 GMT 2022","449","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 11:58:12 GMT 2022","Tue Sep 06 11:58:13 GMT 2022","819","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 11:58:06 GMT 2022","Tue Sep 06 11:58:10 GMT 2022","3704","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 11:58:00 GMT 2022","Tue Sep 06 11:58:03 GMT 2022","3802","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
