"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 13:05:16 GMT 2022","Fri Sep 02 13:05:17 GMT 2022","345","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 13:05:07 GMT 2022","Fri Sep 02 13:05:13 GMT 2022","6115","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 13:05:17 GMT 2022","Fri Sep 02 13:05:19 GMT 2022","1916","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 13:05:08 GMT 2022","Fri Sep 02 13:05:08 GMT 2022","269","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 13:05:08 GMT 2022","Fri Sep 02 13:05:08 GMT 2022","293","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 13:05:12 GMT 2022","Fri Sep 02 13:05:18 GMT 2022","6108","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 13:05:13 GMT 2022","Fri Sep 02 13:05:15 GMT 2022","2814","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 13:05:08 GMT 2022","Fri Sep 02 13:05:10 GMT 2022","1352","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 13:05:17 GMT 2022","Fri Sep 02 13:05:17 GMT 2022","272","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 13:05:08 GMT 2022","Fri Sep 02 13:05:10 GMT 2022","1928","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
