"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 31 13:44:06 GMT 2022","Wed Aug 31 13:44:06 GMT 2022","408","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Wed Aug 31 13:44:01 GMT 2022","Wed Aug 31 13:44:07 GMT 2022","6208","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Wed Aug 31 13:44:07 GMT 2022","Wed Aug 31 13:44:08 GMT 2022","1141","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Wed Aug 31 13:44:08 GMT 2022","Wed Aug 31 13:44:09 GMT 2022","1627","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Wed Aug 31 13:44:06 GMT 2022","Wed Aug 31 13:44:12 GMT 2022","5980","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Wed Aug 31 13:44:01 GMT 2022","Wed Aug 31 13:44:03 GMT 2022","1518","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Wed Aug 31 13:44:07 GMT 2022","Wed Aug 31 13:44:08 GMT 2022","312","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Wed Aug 31 13:44:06 GMT 2022","Wed Aug 31 13:44:07 GMT 2022","288","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Wed Aug 31 13:44:08 GMT 2022","Wed Aug 31 13:44:08 GMT 2022","251","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Wed Aug 31 13:44:08 GMT 2022","Wed Aug 31 13:44:10 GMT 2022","2069","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
