"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:44:42 GMT 2022","Tue Sep 06 12:44:42 GMT 2022","547","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:44:43 GMT 2022","Tue Sep 06 12:44:44 GMT 2022","1129","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:44:48 GMT 2022","Tue Sep 06 12:44:55 GMT 2022","7261","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:44:53 GMT 2022","Tue Sep 06 12:44:55 GMT 2022","2194","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:44:49 GMT 2022","Tue Sep 06 12:44:51 GMT 2022","1939","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:44:42 GMT 2022","Tue Sep 06 12:44:43 GMT 2022","405","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:44:49 GMT 2022","Tue Sep 06 12:44:49 GMT 2022","439","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:44:42 GMT 2022","Tue Sep 06 12:44:45 GMT 2022","2700","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:44:49 GMT 2022","Tue Sep 06 12:44:49 GMT 2022","398","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:44:42 GMT 2022","Tue Sep 06 12:44:50 GMT 2022","7462","","Base page test","","Base page test","Signing in","Signing in",""
