"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:47:19 GMT 2022","Tue Sep 06 12:47:20 GMT 2022","477","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:47:19 GMT 2022","Tue Sep 06 12:47:26 GMT 2022","6952","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:47:30 GMT 2022","Tue Sep 06 12:47:31 GMT 2022","432","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:47:20 GMT 2022","Tue Sep 06 12:47:21 GMT 2022","1165","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:47:25 GMT 2022","Tue Sep 06 12:47:32 GMT 2022","7160","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:47:25 GMT 2022","Tue Sep 06 12:47:29 GMT 2022","3769","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:47:19 GMT 2022","Tue Sep 06 12:47:21 GMT 2022","2540","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:47:31 GMT 2022","Tue Sep 06 12:47:32 GMT 2022","1071","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:47:30 GMT 2022","Tue Sep 06 12:47:30 GMT 2022","376","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:47:19 GMT 2022","Tue Sep 06 12:47:19 GMT 2022","432","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
