"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 17:07:16 GMT 2022","Fri Sep 02 17:07:18 GMT 2022","1751","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 17:07:16 GMT 2022","Fri Sep 02 17:07:23 GMT 2022","6982","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 17:07:12 GMT 2022","Fri Sep 02 17:07:14 GMT 2022","1459","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 17:07:18 GMT 2022","Fri Sep 02 17:07:18 GMT 2022","255","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 17:07:11 GMT 2022","Fri Sep 02 17:07:12 GMT 2022","527","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 17:07:18 GMT 2022","Fri Sep 02 17:07:21 GMT 2022","2974","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 17:07:12 GMT 2022","Fri Sep 02 17:07:12 GMT 2022","252","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 17:07:18 GMT 2022","Fri Sep 02 17:07:18 GMT 2022","441","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 17:07:12 GMT 2022","Fri Sep 02 17:07:19 GMT 2022","7009","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 17:07:18 GMT 2022","Fri Sep 02 17:07:20 GMT 2022","1986","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
