"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 14:46:12 GMT 2022","Fri Sep 02 14:46:20 GMT 2022","7515","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 14:46:21 GMT 2022","Fri Sep 02 14:46:21 GMT 2022","457","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 14:46:21 GMT 2022","Fri Sep 02 14:46:29 GMT 2022","7726","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 14:46:14 GMT 2022","Fri Sep 02 14:46:14 GMT 2022","453","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 14:46:21 GMT 2022","Fri Sep 02 14:46:23 GMT 2022","1928","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 14:46:13 GMT 2022","Fri Sep 02 14:46:14 GMT 2022","480","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 14:46:13 GMT 2022","Fri Sep 02 14:46:15 GMT 2022","2014","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 14:46:14 GMT 2022","Fri Sep 02 14:46:16 GMT 2022","1569","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 14:46:20 GMT 2022","Fri Sep 02 14:46:21 GMT 2022","499","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 14:46:23 GMT 2022","Fri Sep 02 14:46:26 GMT 2022","2854","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
