"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 18:56:44 GMT 2022","Mon Sep 12 18:56:47 GMT 2022","3081","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 12 18:56:43 GMT 2022","Mon Sep 12 18:56:53 GMT 2022","9785","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 12 18:56:44 GMT 2022","Mon Sep 12 18:56:45 GMT 2022","949","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 12 18:56:44 GMT 2022","Mon Sep 12 18:56:44 GMT 2022","360","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Mon Sep 12 18:56:44 GMT 2022","Mon Sep 12 18:56:44 GMT 2022","206","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
