"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:52:13 GMT 2022","Tue Sep 06 12:52:14 GMT 2022","361","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:52:18 GMT 2022","Tue Sep 06 12:52:25 GMT 2022","7074","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:52:12 GMT 2022","Tue Sep 06 12:52:18 GMT 2022","6381","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:52:23 GMT 2022","Tue Sep 06 12:52:23 GMT 2022","687","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:18 GMT 2022","Tue Sep 06 12:52:21 GMT 2022","3016","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:14 GMT 2022","Tue Sep 06 12:52:15 GMT 2022","1184","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:22 GMT 2022","Tue Sep 06 12:52:23 GMT 2022","372","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:52:13 GMT 2022","Tue Sep 06 12:52:16 GMT 2022","3110","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:22 GMT 2022","Tue Sep 06 12:52:22 GMT 2022","202","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:52:13 GMT 2022","Tue Sep 06 12:52:13 GMT 2022","401","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
