"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:52:07 GMT 2022","Tue Sep 06 12:52:14 GMT 2022","6976","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:52:00 GMT 2022","Tue Sep 06 12:52:07 GMT 2022","7027","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:52:07 GMT 2022","Tue Sep 06 12:52:07 GMT 2022","343","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:52:08 GMT 2022","Tue Sep 06 12:52:09 GMT 2022","1711","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:10 GMT 2022","Tue Sep 06 12:52:13 GMT 2022","2769","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:07 GMT 2022","Tue Sep 06 12:52:08 GMT 2022","378","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:52:00 GMT 2022","Tue Sep 06 12:52:03 GMT 2022","3356","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:01 GMT 2022","Tue Sep 06 12:52:01 GMT 2022","773","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:00 GMT 2022","Tue Sep 06 12:52:00 GMT 2022","237","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:52:00 GMT 2022","Tue Sep 06 12:52:01 GMT 2022","350","","Base page test","","Base page test","POST test request","POST test request",""
