"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 12 19:02:09 GMT 2022","Mon Sep 12 19:02:17 GMT 2022","7711","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 12 19:02:05 GMT 2022","Mon Sep 12 19:02:06 GMT 2022","1492","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 12 19:02:05 GMT 2022","Mon Sep 12 19:02:07 GMT 2022","1126","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 12 19:02:13 GMT 2022","Mon Sep 12 19:02:13 GMT 2022","303","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Mon Sep 12 19:02:13 GMT 2022","Mon Sep 12 19:02:15 GMT 2022","1596","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Mon Sep 12 19:02:05 GMT 2022","Mon Sep 12 19:02:05 GMT 2022","301","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Mon Sep 12 19:02:05 GMT 2022","Mon Sep 12 19:02:14 GMT 2022","9337","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Mon Sep 12 19:02:12 GMT 2022","Mon Sep 12 19:02:13 GMT 2022","336","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Mon Sep 12 19:02:10 GMT 2022","Mon Sep 12 19:02:12 GMT 2022","2543","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Sep 12 19:02:05 GMT 2022","Mon Sep 12 19:02:05 GMT 2022","320","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
