"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 14 14:29:32 GMT 2022","Fri Oct 14 14:29:32 GMT 2022","340","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:29:41 GMT 2022","Fri Oct 14 14:29:42 GMT 2022","371","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Oct 14 14:29:42 GMT 2022","Fri Oct 14 14:29:44 GMT 2022","1808","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:29:41 GMT 2022","Fri Oct 14 14:29:41 GMT 2022","355","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:29:29 GMT 2022","Fri Oct 14 14:29:36 GMT 2022","6615","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:29:37 GMT 2022","Fri Oct 14 14:29:46 GMT 2022","8990","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Oct 14 14:29:31 GMT 2022","Fri Oct 14 14:29:38 GMT 2022","6618","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Oct 14 14:29:32 GMT 2022","Fri Oct 14 14:29:33 GMT 2022","824","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Oct 14 14:29:31 GMT 2022","Fri Oct 14 14:29:32 GMT 2022","697","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Oct 14 14:29:38 GMT 2022","Fri Oct 14 14:29:42 GMT 2022","4426","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
