"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 15:02:10 GMT 2022","Fri Sep 02 15:02:11 GMT 2022","473","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 15:02:16 GMT 2022","Fri Sep 02 15:02:19 GMT 2022","2771","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 15:02:20 GMT 2022","Fri Sep 02 15:02:20 GMT 2022","263","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Fri Sep 02 15:02:15 GMT 2022","Fri Sep 02 15:02:21 GMT 2022","6328","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 15:02:11 GMT 2022","Fri Sep 02 15:02:12 GMT 2022","1459","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 02 15:02:20 GMT 2022","Fri Sep 02 15:02:20 GMT 2022","258","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 15:02:11 GMT 2022","Fri Sep 02 15:02:11 GMT 2022","246","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Fri Sep 02 15:02:11 GMT 2022","Fri Sep 02 15:02:13 GMT 2022","1663","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Fri Sep 02 15:02:11 GMT 2022","Fri Sep 02 15:02:17 GMT 2022","6033","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Fri Sep 02 15:02:20 GMT 2022","Fri Sep 02 15:02:22 GMT 2022","1681","","Base page test","","Base page test","MOCK test request","MOCK test request",""
