"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 06 12:52:34 GMT 2022","Tue Sep 06 12:52:36 GMT 2022","1556","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:33 GMT 2022","Tue Sep 06 12:52:33 GMT 2022","225","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:52:32 GMT 2022","Tue Sep 06 12:52:33 GMT 2022","290","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:52:27 GMT 2022","Tue Sep 06 12:52:27 GMT 2022","225","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 06 12:52:33 GMT 2022","Tue Sep 06 12:52:35 GMT 2022","2091","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:27 GMT 2022","Tue Sep 06 12:52:27 GMT 2022","303","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 06 12:52:32 GMT 2022","Tue Sep 06 12:52:36 GMT 2022","3458","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 06 12:52:26 GMT 2022","Tue Sep 06 12:52:31 GMT 2022","5380","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 06 12:52:27 GMT 2022","Tue Sep 06 12:52:34 GMT 2022","6191","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 06 12:52:31 GMT 2022","Tue Sep 06 12:52:38 GMT 2022","7178","","Base page test","","Base page test","Signing in","Signing in",""
