"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 13:35:45 GMT 2022","Tue Sep 13 13:35:47 GMT 2022","2526","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 13 13:35:35 GMT 2022","Tue Sep 13 13:35:36 GMT 2022","411","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
"passed","Tue Sep 13 13:35:42 GMT 2022","Tue Sep 13 13:35:43 GMT 2022","459","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 13 13:35:41 GMT 2022","Tue Sep 13 13:35:48 GMT 2022","7871","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 13 13:35:35 GMT 2022","Tue Sep 13 13:35:41 GMT 2022","6480","","Base page test","","Base page test","Signing in","Signing in",""
"passed","Tue Sep 13 13:35:34 GMT 2022","Tue Sep 13 13:35:37 GMT 2022","2033","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Tue Sep 13 13:35:43 GMT 2022","Tue Sep 13 13:35:44 GMT 2022","1525","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 13 13:35:36 GMT 2022","Tue Sep 13 13:35:38 GMT 2022","1479","","Base page test","","Base page test","MOCK test request","MOCK test request",""
"passed","Tue Sep 13 13:35:36 GMT 2022","Tue Sep 13 13:35:36 GMT 2022","448","","Base page test","","Base page test","POST test request","POST test request",""
"passed","Tue Sep 13 13:35:42 GMT 2022","Tue Sep 13 13:35:42 GMT 2022","462","","Base page test","","Base page test","GET test request /api/users/2","GET test request /api/users/2",""
